train/epoch,test/Log Prob,debug/MSE of random decoding Min,debug/MSE improvement over random Min,debug/MSE improvement over random Max,debug/MSE improvement over random Std,train/loss,debug/MSE of random decoding Mean,beta,debug/MSE of reconstruction,debug/MSE of random decoding Max,train/KL,debug/MSE of random decoding Std,debug/MSE improvement over random Mean,train/Log Prob,test/loss,test/KL
49,-369.7633514404297,0.0,0.006281075,0.055093564,0.009866604,235.17871704101563,0.0441331,10.0,0.0055993022,1.0,12.495277729034424,0.20162067,0.0385338,-110.22594032287597,499.8933074951172,13.012996578216553
50,-310.4505615234375,0.0,0.000990422,0.06941941,0.011233855,234.9181460571289,0.042810265,10.0,0.0023883928,1.0,12.505097789764404,0.19812475,0.040421873,-109.86716819763184,437.72426452636716,12.727370929718017
51,-1216.1710693359375,0.0,0.0026618196,0.052973095,0.009415754,235.85631454467773,0.045005385,10.0,0.005922485,1.0,12.475422191619874,0.20308466,0.039082892,-111.10209327697754,1339.842724609375,12.36716718673706
52,-254.42558746337892,0.0,0.022900509,0.0596391,0.008758619,237.53736114501953,0.044521593,10.0,0.0035775416,1.0,12.452715044021607,0.20198731,0.040944047,-113.0102108001709,382.29791259765625,12.787232208251954
53,-5472.430859375,0.0,-0.010088177,0.02326519,0.007775271,238.4895295715332,0.045331173,10.0,0.03813181,1.0,12.410572204589844,0.20421195,0.0071993526,-114.38380683898926,5594.23779296875,12.180695819854737
54,-401.3076477050781,0.0,0.014671294,0.05409801,0.00849028,237.57602432250977,0.033980995,10.0,0.0008576671,1.0,12.43339427947998,0.17622215,0.033123337,-113.24208183288575,527.2001525878907,12.589250183105468
55,-3185.4183349609375,0.0,0.023774482,0.056711793,0.00916506,233.16384231567383,0.042938463,10.0,0.004205647,1.0,12.384698162078857,0.19911979,0.038732816,-109.31686042785644,3309.0984375,12.368009185791015
56,-312.21289978027346,0.0,0.0022287357,0.06403093,0.010844288,233.1672528076172,0.041597277,10.0,0.0020837903,1.0,12.37282485961914,0.19594157,0.0395135,-109.43900466918946,437.644140625,12.543124389648437
57,-258.24258575439455,0.0,0.0057716267,0.058329273,0.010820984,230.52617904663086,0.041699175,10.0,0.00082338153,1.0,12.37508773803711,0.19591795,0.0408758,-106.7753020477295,385.7332275390625,12.74906358718872
58,-262.47256622314455,0.0,0.01924598,0.06308896,0.008902955,233.43092880249023,0.042928465,10.0,0.0031788687,1.0,12.383742198944091,0.19857314,0.039749593,-109.59350723266601,389.7425048828125,12.726994037628174
59,-1223.9765197753907,0.0,0.013263882,0.053710617,0.0092835985,231.49646377563477,0.041514874,10.0,0.0037992622,1.0,12.349069843292236,0.19543453,0.03771562,-108.00576530456543,1346.750830078125,12.27743091583252
60,-261.7506561279297,0.0,0.02567753,0.05255659,0.008295221,230.63977935791016,0.043327007,10.0,0.0022919248,1.0,12.305037755966186,0.1999684,0.04103509,-107.58940170288086,389.28209533691404,12.753143692016602
61,-233.98878784179686,0.0,0.0017719637,0.05249683,0.010562825,226.1603924560547,0.041710787,10.0,0.00328741,1.0,12.293008937835694,0.19654001,0.038423374,-103.2303042602539,361.2459991455078,12.72572202682495
62,-862.5761108398438,0.0,0.010290548,0.037747733,0.008291023,226.35365005493165,0.0431605,10.0,0.01767643,1.0,12.302164421081542,0.19969092,0.025484078,-103.33200523376465,984.6624938964844,12.208638954162598
63,-224.5134765625,0.0,0.021154176,0.074171074,0.010007234,225.8818504333496,0.04363697,10.0,0.0019691938,1.0,12.292190074920654,0.20049283,0.04166778,-102.95994834899902,352.3441497802734,12.783067417144775
64,-557.1180908203125,0.0,0.0070579504,0.049138032,0.009731848,226.93762756347655,0.042780973,10.0,0.006369349,1.0,12.329890460968018,0.19906412,0.036411628,-103.6387232208252,683.0824645996094,12.596437740325928
65,-399.21962890625,0.0,0.009963514,0.05372242,0.00952851,224.8026284790039,0.040927816,10.0,0.0012142191,1.0,12.261500520706177,0.194435,0.0397136,-102.18762252807618,527.2023406982422,12.798271465301514
66,-2467.6353759765625,0.0,0.0020967566,0.054680984,0.010504963,223.70827346801758,0.040870238,10.0,0.003611524,1.0,12.281239280700683,0.19436023,0.037258714,-100.89588180541992,2589.1235107421876,12.148814296722412
67,-326.1386352539063,0.0,0.013587445,0.056915853,0.010613453,222.26483444213866,0.043906685,10.0,0.0010802789,1.0,12.25901141166687,0.20115507,0.0428264,-99.67472076416016,452.4773742675781,12.633873462677002
68,-619.1437316894531,0.0,0.0069240043,0.0555708,0.008691377,221.97705322265625,0.04480988,10.0,0.002337809,1.0,12.247701301574708,0.20338398,0.04247208,-99.50003959655761,741.9958679199219,12.28521432876587
69,-979.7354858398437,0.0,0.01246387,0.044628393,0.0076486217,221.27272247314454,0.04594431,10.0,0.015509368,1.0,12.206684885025025,0.20551093,0.03043494,-99.20587471008301,1104.3526489257813,12.461716747283935
70,-410.2208282470703,0.0,0.0148226945,0.055742085,0.01040527,220.95096725463867,0.04335824,10.0,0.0011612353,1.0,12.175437278747559,0.20020422,0.042197008,-99.19659400939942,535.3557952880859,12.513496685028077
71,-343.98105773925784,0.0,0.01116668,0.060604807,0.010456003,221.63129165649414,0.04367335,10.0,0.00074881327,1.0,12.169146528244019,0.20052527,0.04292454,-99.9398260498047,470.70921936035154,12.672816181182862
72,-334.88361206054685,0.0,0.026850568,0.056417424,0.008107834,218.2903582763672,0.044564553,10.0,0.0011227222,1.0,12.187257719039916,0.20315164,0.04344184,-96.41778091430665,462.36802673339844,12.748440742492676
73,-317.4355072021484,0.0,0.009765356,0.059625525,0.011239597,217.9442691040039,0.042844508,10.0,0.0036906644,1.0,12.174011840820313,0.19849797,0.039153837,-96.20415054321289,443.2091339111328,12.577362823486329
74,-201.53798065185546,0.0,0.001733162,0.05391883,0.010583501,220.28819534301758,0.040842976,10.0,0.0012908564,1.0,12.161987161636352,0.19444248,0.039552122,-98.6683235168457,330.9345947265625,12.939660835266114
75,-455.6220397949219,0.0,0.012285647,0.059043415,0.010152699,219.86897384643555,0.042685386,10.0,0.0025876875,1.0,12.159034776687623,0.19882089,0.04009771,-98.2786254119873,579.9684448242188,12.434640979766845
76,-3090.1982666015624,0.0,0.013200719,0.04340448,0.008982258,219.85648544311525,0.04314411,10.0,0.012980968,1.0,12.141215610504151,0.19989699,0.030163135,-98.44432975769043,3209.41982421875,11.922150039672852
77,-520.8281188964844,0.0,0.01543341,0.05678405,0.009363334,220.79902481079102,0.043973006,10.0,0.0022056343,1.0,12.122864379882813,0.20146655,0.041767363,-99.57038024902344,646.2591918945312,12.543107509613037
78,-2239.624072265625,0.0,-0.008864118,0.034168445,0.009877799,218.62000686645507,0.0427494,10.0,0.023532884,1.0,12.181327438354492,0.19836745,0.019216513,-96.80673355102539,2359.7982177734375,12.017417430877686
79,-345.7111328125,0.0,0.01694706,0.05993481,0.009143935,216.08956314086913,0.04356402,10.0,0.0014659286,1.0,12.124848556518554,0.20057012,0.042098098,-94.84107704162598,470.69556884765626,12.498442840576171
